"Mice","weight_g","length_cm","ab_fat","other_fat","total_fat","X100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic.lesions","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only"
"F2_4",51.5,11.3,0.94,3.22,4.16,8.07766990291262,156,1382,46,517,147,590,1336,188.5,9300,0.0634408602150538,21409.58,4.894,171000,12,10,NA,0,8,NA,NA
"F2_5",59.2,11.5,1.37,4.03,5.4,9.12162162162162,261,1563,55,585,140,594,1508,221.592,NA,NA,NA,NA,49375,64,9,NA,0,62,NA,NA
"F2_6",51.5,11,1.66,2.35,4.01,7.78640776699029,134,1823,51,718,161,758,1772,137.462,NA,NA,NA,NA,65000,8,9,NA,2,3,NA,NA
"F2_7",56.5,11.2,1.1,2.6,3.7,6.54867256637168,192,1589,57,687,172,734,1532,246.606,20538,0.0357386308306554,27676.56,8.664,144500,0,0,NA,0,0,NA,NA
"F2_8",48.5,10.7,0.94,2.22,3.16,6.51546391752577,79,1265,59,371,85,406,1206,229.812,NA,NA,NA,NA,122500,32,9,NA,0,35,NA,NA
"F2_9",52.7,11.3,2.08,2.74,4.82,9.146110056926,96,1375,75,438,92,423,1300,148.444,4435,0.0953776775648253,NA,NA,118125,0,0,NA,0,0,NA,NA
"F2_10",58.4,12,1.79,2.77,4.56,7.80821917808219,134,1567,45,625,153,564,1522,262.336,22267,0.0253289621412853,NA,NA,NA,54,17,NA,0,53,NA,NA
"F2_13",57.3,11.7,1.5,2.7,4.2,7.32984293193717,128,1447,42,478,89,364,1405,211.566,NA,NA,NA,NA,224250,20,2,NA,0,0,NA,NA
"F2_16",53.4,11.2,1.08,3.41,4.49,8.40823970037453,63,1655,69,658,149,652,1586,139.778,4659,0.139944194033054,16088.92,6.663,122500,24,9,NA,0,4,NA,NA
"F2_17",48.1,10.6,2.63,2.92,5.55,11.5384615384615,54,992,42,352,99,344,950,114.502,3081,0.11165206101915,21059.52,10.312,163844,0,0,0,0,0,NA,NA
"F2_18",52.8,11.4,1.62,3.07,4.69,8.88257575757576,71,1022,36,390,101,380,986,280.014,2137,0.177819372952737,11320.3,6.602,50500,48,11,NA,0,0,NA,NA
"F2_22",47.6,10.4,1.61,2.72,4.33,9.09663865546218,27,1320,30,580,128,544,1290,166.472,7567,0.0718911061186732,21099.4,10.424,309750,15,7,NA,0,0,NA,NA
"F2_27",53.8,11,0.9,2.56,3.46,6.43122676579926,169,1582,52,539,99,416,1530,171.582,29699,0.0140072056298192,81680,5.806,239750,12,5,NA,0,0,NA,NA
"F2_28",35.7,10.7,1.78,2.23,4.01,11.2324929971989,136,1255,34,444,92,483,1221,132.238,3458,0.139676113360324,66240,8.49,144500,31,9,0,0,0,NA,NA
"F2_29",46.5,10.7,0.89,2.38,3.27,7.03225806451613,194,1506,53,511,114,447,1453,362.996,3866,0.115623383341956,51840,8.224,148000,0,0,0,0,0,NA,NA
"F2_30",49.2,10.7,0.98,2.31,3.29,6.6869918699187,228,1496,57,529,139,559,1439,128.966,12556,0.0445205479452055,47520,6.387,150500,33,3,0,0,0,NA,NA
"F2_33",46.9,10.3,1.88,2.6,4.48,9.55223880597015,218,2053,57,657,126,550,1996,145.474,14085,0.0390486332978346,92560,7.969,103500,0,0,0,0,1,NA,NA
"F2_34",54.2,10.7,1.79,3.45,5.24,9.6678966789668,226,1411,40,528,106,427,1371,142.912,29699,0.0143775884709923,145560,5.131,163250,56,5,0,0,5,NA,NA
"F2_35",59.4,10.4,2.75,3.87,6.62,11.1447811447811,79,2747,54,1289,203,780,2693,275.108,11998,0.0650108351391899,172480,5.455,152250,34,6,0,0,4,NA,NA
"F2_60",51.2,10.1,1.06,2.88,3.94,7.6953125,335,2104,48,847,208,866,2056,253.53,29699,0.0291592309505371,108120,4.156,69000,10,2,0,NA,NA,NA,NA
"F2_73",59.2,11.1,1.51,4.1,5.61,9.47635135135135,82,1714,41,680,159,592,1673,823.048,29699,0.0199333310885888,79840,3.295,211250,24,4,0,NA,NA,NA,NA
"F2_74",50.1,10.7,1.04,3.2,4.24,8.46307385229541,143,1679,41,546,122,509,1638,153.874,9320,0.0546137339055794,72760,3.566,207750,32,3,2,NA,NA,NA,NA
"F2_75",49.6,11.5,0.68,3.08,3.76,7.58064516129032,101,1689,40,651,142,610,1649,261.248,4684,0.130230572160547,51360,2.813,169000,40,10,14,NA,NA,NA,NA
"F2_76",51.3,11.2,1.28,3.74,5.02,9.78557504873294,64,1402,52,554,152,510,1350,340.162,15262,0.0334163281352378,75600,3.49,238000,64,5,0,NA,NA,NA,NA
"F2_39",50.3,10.4,1.32,2.47,3.79,7.53479125248509,134,1832,49,552,103,409,1783,182.484,23634,0.0173055767115173,76900,4.645,70250,3,0,0,0,4,NA,NA
"F2_183",50.2,10.7,1.55,2.55,4.1,8.16733067729083,37,855,42,268,63,229,813,146.846,1448,0.158149171270718,89386.56,6.674,411500,12,0,0,0,0,0.0569,0.08085
"F2_184",52.1,11,0.61,2.13,2.74,5.25911708253359,152,1232,78,420,107,405,1154,164.942,6430,0.0629860031104199,68329.66,4.049,219250,24,3,0,0,1,0.0609,0.0869
"F2_185",43.4,10.9,1.49,2.37,3.86,8.89400921658986,139,946,39,326,89,405,907,67.14,947,0.42766631467793,67841.8,6.866,266500,40,7,0,7,13,0.0552,0.07925
"F2_186",39.3,10.4,1.28,1.67,2.95,7.50636132315522,44,851,53,296,66,303,798,79.868,1964,0.154276985743381,61515.86,4.981,112500,0,0,0,0,4,0.0602,0.0796
"F2_197",43.7,10.7,1.39,2.44,3.83,8.76430205949657,105,1002,82,301,72,302,920,44.116,2062,0.146459747817653,48914.66,3.745,251000,30,0,0,0,0,0.0564,0.079
"F2_198",41.6,10.4,0.85,1.67,2.52,6.05769230769231,142,2147,111,649,84,390,2036,97.044,2599,0.150057714505579,48666.46,4.013,46500,12,0,0,0,0,0.0544,0.08105
"F2_199",44.8,10.5,1.61,2.13,3.74,8.3482142857143,118,868,69,293,67,369,799,46.818,6208,0.0594394329896907,119780.18,3.817,131250,42,7,0,0,0,0.0547,0.07665
"F2_216",46.4,10.4,1.26,1.8,3.06,6.5948275862069,168,1473,48,559,154,532,1425,108.192,10639,0.0500046996898205,95554.66,2.874,81000,0,0,0,0,0,0.0554,0.0769
"F2_217",48.4,10.5,0.71,2.24,2.95,6.09504132231405,254,1868,45,678,139,518,1823,168.872,4706,0.110072248193795,60077.2,4.836,99750,68,11,0,0,0,0.0526,0.0738
"F2_218",44.3,9.9,1.04,2.74,3.78,8.53273137697517,104,1838,69,668,157,566,1769,128.098,8172,0.0692608908467939,121461.38,2.916,180750,40,15,0,0,1,0.0546,0.07545
"F2_219",52.8,10.5,1.49,2.5,3.99,7.55681818181818,211,1871,50,801,220,566,1821,120.644,11249,0.0503155836074318,32310.06,3.077,261500,42,14,0,1,72,0.0617,0.0818
"F2_220",49.2,10.7,1.14,1.93,3.07,6.23983739837398,55,1498,51,570,121,409,1447,114.918,5758,0.0710316081972907,76969.84,1.555,158500,35,6,0,2,0,0.0568,0.08015
"F2_146",64.4,11.7,2.44,2.06,4.5,6.98757763975155,438,1671,48,692,182,703,1623,137.85,5645,0.124534986713906,130230.86,6.001,165250,13,1,5,0,0,0.0567,0.07955
"F2_147",47.8,11.1,1.5,1.92,3.42,7.15481171548117,88,793,52,266,59,290,741,126.17,2632,0.110182370820669,42125.16,5.788,129500,15,0,0,0,0,0.0586,0.0772
"F2_148",44.87,10.7,1.35,2.28,3.63,8.09003788722977,48,1071,59,340,65,342,1012,173.04,3367,0.101574101574102,99486.88,9.3,116750,0,0,0,0,2,0.0531,0.06955
"F2_149",49.4,11,1.37,2.53,3.9,7.89473684210526,53,1216,57,502,139,451,1159,249.496,1697,0.265763111373011,80689.72,9.502,468500,54,7,0,0,3,0.0587,0.0781
"F2_151",50.7,11.2,0.82,1.88,2.7,5.32544378698225,119,1291,49,508,128,461,1242,197.442,8481,0.054356797547459,41683.82,5.36,75750,11,5,0,0,9,0.0569,0.08175
"F2_152",51.6,11.1,0.7,2.01,2.71,5.25193798449612,79,1670,69,734,164,553,1601,284.418,15242,0.0362813279097231,51437.38,5.465,210000,0,0,0,0,1,0.0664,0.0915
"F2_153",51.6,11,2.33,2.6,4.93,9.55426356589147,45,1423,60,545,113,436,1363,114.976,2038,0.213935230618253,76830.3,22.932,147250,7,6,0,0,1,0.0653,0.08875
"F2_158",52.7,10.9,0.89,3.43,4.32,8.19734345351044,132,1710,53,588,102,404,1657,379.84,2014,0.200595829195631,54820.86,3.603,164500,50,15,0,0,1,0.0576,0.0798
"F2_159",51,10.9,1.74,2.17,3.91,7.66666666666667,689,1667,60,681,161,529,1607,237.836,4162,0.127102354637194,74850.12,3.914,131500,24,8,NA,0,0,0.0575,0.0793
"F2_160",48.6,10.8,1.68,1.81,3.49,7.18106995884774,95,1533,53,576,126,433,1480,161.266,710,0.609859154929577,42360.32,3.634,124750,0,0,0,0,3,0.0607,0.0838
"F2_170",47,10.6,1,2.31,3.31,7.04255319148936,199,1782,56,555,105,399,1726,282.578,4239,0.0941259731068648,74687.4,4.045,71750,43,13,4,47,31,0.0556,0.0766
"F2_171",51.5,10.8,1,2.5,3.5,6.79611650485437,120,1234,38,498,114,508,1196,133.53,12486,0.0406855678359763,77029.38,4.284,180250,62,22,0,13,335,0.0621,0.0891
"F2_172",36.5,9.8,1.7,2.19,3.89,10.6575342465753,57,1449,45,609,138,488,1404,236.064,605,0.806611570247934,69842.86,9.03,419750,41,17,0,0,0,0.0501,0.0638
"F2_173",60.7,11.1,1.03,3.2,4.23,6.96869851729819,107,1732,35,637,99,437,1697,419.056,10059,0.04344368227458,136558.32,5.429,116000,5,0,0,0,2,0.0589,0.08335
"F2_174",51,10.8,0.91,1.91,2.82,5.52941176470588,201,1966,75,768,188,568,1891,243.952,10544,0.0538694992412747,63445.66,3.787,208500,18,6,12,1,0,0.0624,0.08545
"F2_317",48.2,11.3,1.15,2.1,3.25,6.74273858921162,61,1490,38,495,104,368,1452,115.698,4330,0.0849884526558891,63934.78,4.788,284500,25,10,0,0,6,0.0644,0.0944
"F2_318",52.5,10.7,0.68,2.75,3.43,6.53333333333333,105,1466,56,551,119,526,1410,453.096,3121,0.168535725728933,93027.22,5.574,259500,75,23,3,0,59,0.0596,0.08455
"F2_343",39.6,10.1,2.08,1.66,3.74,9.44444444444444,42,1258,74,517,158,475,1184,210.09,725,0.655172413793103,15170.2,8.354,287000,48,4,0,NA,NA,NA,NA
